,No.,Name,Status,No of imgs
,1,Banh bao,Complete,110
,2,Banh beo,Complete,100
,3,Banh canh,Complete,115
,4,Banh chung,Complete,110
,5,Banh crepe,Complete,130
,6,Banh cuon,Complete,110
,7,Banh da,Complete,110
,8,Banh duc,Complete,100
,9,Banh gio,Complete,100
,10,Banh khot,Complete,100
,11,Banh khuc,Complete,100
,12,Banh mi,Complete,245
,13,Banh mousse,Complete,120
,14,Banh pia,Complete,100
,15,Banh ran,Complete,100
,16,Banh tao,Complete,120
,17,Banh te,Complete,100
,18,Banh tom,Complete,110
,19,Banh trang,Complete,100
,20,Banh troi,Complete,100
,21,Banh xeo,Complete,110
,22,Bibimbap,Complete,110
,23,Bingsu,Complete,130
,24,Bo kho,Complete,110
,25,Bun bo Hue,Complete,105
,26,Bun cha,Complete,125
,27,Bun dau,Complete,105
,28,Bun hai san,Complete,145
,29,Bun thang,Complete,105
,30,Ca,Complete,190
,31,Canh ga,Complete,125
,32,Cha muc,Complete,125
,33,Chao,Complete,130
,34,Che,Complete,185
,35,Com,Complete,110
,36,Com lam,Complete,100
,37,Com rang,Complete,100
,38,Com tam,Complete,100
,39,Creme brulee,Complete,110
,40,Croffle,Complete,120
,41,Croissant,Complete,120
,42,Cuon,Complete,115
,43,Dimsum,Complete,150
,44,Doner kebap,Complete,110
,45,Donut,Complete,130
,46,Foie Gras,Complete,110
,47,Ga,Complete,110
,48,Hamburger,Complete,130
,49,Hotdog,Complete,110
,50,Hu tieu,Complete,110
,51,Khoai chien,Complete,135
,52,Kimbap,Complete,115
,53,Lau,Complete,140
,54,Macaron,Complete,105
,55,Mapo tofu,Complete,115
,56,Mi,Complete,195
,57,Mochi,Complete,130
,58,Nem,Complete,105
,59,Nem chua,Complete,120
,60,Nem nuong,Complete,115
,61,Nom,Complete,125
,62,Pad Thai,Complete,100
,63,Panna Cotta,Complete,110
,64,Phat nhay tuong,Complete,110
,65,Pho,Complete,110
,66,Pizza,Complete,130
,67,Ramen,Complete,145
,68,Salad,Complete,180
,69,Sandwich,Complete,220
,70,Soup,Complete,120
,71,Spaghetti,Complete,175
,72,Steak,Complete,170
,73,Suon nuong,Complete,120
,74,Sushi,Complete,210
,75,Tacos,Complete,140
,76,Takoyaki,Complete,140
,77,Tea,Complete,135
,78,Thit kho,Complete,110
,79,Thit nuong,Complete,130
,80,Tokbokki,Complete,130
,81,Trau,Complete,100
,82,Vit quay,Complete,150
,83,Wontons,Complete,120
,84,Xoi,Complete,140